"","x"
"1","Acinetobacter_baumannii"
"2","Burkholderia_cepacia"
"3","Burkholderia_mallei"
"4","Burkholderia_pseudomallei"
"5","Campylobacter"
"6","Citrobacter_freundii"
"7","Clostridioides_difficile"
"8","Corynebacterium_diphtheriae"
"9","Enterobacter_asburiae"
"10","Enterobacter_cloacae"
"11","Enterococcus_faecalis"
"12","Enterococcus_faecium"
"13","Escherichia"
"14","Klebsiella_oxytoca"
"15","Klebsiella_pneumoniae"
"16","Neisseria_gonorrhoeae"
"17","Neisseria_meningitidis"
"18","Pseudomonas_aeruginosa"
"19","Salmonella"
"20","Serratia_marcescens"
"21","Staphylococcus_aureus"
"22","Staphylococcus_pseudintermedius"
"23","Streptococcus_agalactiae"
"24","Streptococcus_pneumoniae"
"25","Streptococcus_pyogenes"
"26","Vibrio_cholerae"
"27","Vibrio_parahaemolyticus"
"28","Vibrio_vulnificus"
