,species,abb,url
1,Acinetobacter_baumannii,Abaumannii,
2,Bacillus_anthracis,Banthracis,
3,Bordetella_pertussis,Bpertussis,
4,Brucella_melitensis,Bmelitensis,
5,Brucella_spp,Brucella,
6,Burkholderia_mallei_FLI,Bmallei_fli,
7,Burkholderia_mallei_RKI,Bmallei_rki,
8,Burkholderia_pseudomallei,Bpseudomallei,
9,Campylobacter_jejuni_coli,Cjejuni,
10,Clostridioides_difficile,Cdifficile,
11,Clostridium_perfringens,Cperfringens,
12,Corynebacterium_diphtheriae,Cdiphtheriae,
13,Corynebacterium_pseudotuberculosis,Cpseudotuberculosis,
14,Cronobacter_sakazakii_malonaticus,Csakazakii,
15,Enterococcus_faecalis,Efaecalis,
16,Enterococcus_faecium,Efaecium,
17,Escherichia_coli,Ecoli,
18,Francisella_tularensis,Ftularensis,
19,Klebsiella_oxytoca_sensu_lato,Koxytoca,
20,Klebsiella_pneumoniae_sensu_lato,Kpneumoniae,
21,Legionella_pneumophila,Lpneumophila,
22,Listeria_monocytogenes,Lmonocytogenes,
23,Mycobacterium_tuberculosis_complex,Mtuberculosis,
24,Mycobacteroides_abscessus,Mabscessus,
25,Mycoplasma_gallisepticum,Mgallisepticum,
26,Paenibacillus_larvae,Plarvae,
27,Pseudomonas_aeruginosa,Paeruginosa,
28,Salmonella_enterica,Senterica,
29,Serratia_marcescens,Smarcescens,
30,Staphylococcus_argenteus,Sargenteus,
31,Staphylococcus_aureus,Saureus,
32,Staphylococcus_capitis,Scapitis,
33,Streptococcus_pyogenes,Spyogenes,
34,Yersinia_enterocolitic,Yenterocolitica,
35,Citrobacter_freundi,Cfreundii,
36,Citrobacter_freundii_portucalensis_braakii_europaeus,Cfreundii,
37,Enterobacter_hormaechei,Ehormaechei,
38,Morganella_morganii,Mmorganii,
39,Proteus_mirabilis,Pmirabilis,
40,Providencia stuartii,Pstuartii,
