,species,abb,url
1,Acinetobacter_baumannii,abaumannii,https://rest.pubmlst.org/db/pubmlst_abaumannii_seqdef/schemes/3
2, Bacillus_anthracis,bcereus,https://rest.pubmlst.org/db/pubmlst_bcereus_seqdef/schemes/2
3, Bacillus_cereus,bcereus,https://rest.pubmlst.org/db/pubmlst_bcereus_seqdef/schemes/5
4, Borrelia_spp,borrelia,https://rest.pubmlst.org/db/pubmlst_borrelia_seqdef/schemes/3
5, Brucella_spp,brucella,https://rest.pubmlst.org/db/pubmlst_brucella_seqdef/schemes/3
6, Burkholderia_mallei,bmallei,https://rest.pubmlst.org/db/pubmlst_bmallei_seqdef/schemes/1
7, Burkholderia_pseudomallei,bpseudomallei,https://rest.pubmlst.org/db/pubmlst_bpseudomallei_seqdef/schemes/2
8, Campylobacter_jejuni_coli_v1,campylobacter,https://rest.pubmlst.org/db/pubmlst_campylobacter_seqdef/schemes/4
9, Campylobacter_jejuni_coli_v2,campylobacter,https://rest.pubmlst.org/db/pubmlst_campylobacter_seqdef/schemes/8
10, Chlamydia_abortus,chlamydiales,https://rest.pubmlst.org/db/pubmlst_chlamydiales_seqdef/schemes/44
11, Chlamydia_trachomatis,chlamydiales,https://rest.pubmlst.org/db/pubmlst_chlamydiales_seqdef/schemes/42
12, Clostridium_chauvoei,cchauvoei,https://rest.pubmlst.org/db/pubmlst_cchauvoei_seqdef/schemes/1
13, Clostridium_perfringens,cperfringens,https://rest.pubmlst.org/db/pubmlst_cperfringens_seqdef/schemes/2
14, Dichelobacter_nodosus,dnodosus,https://rest.pubmlst.org/db/pubmlst_dnodosus_seqdef/schemes/3
15, Escherichia_spp,escherichia,https://rest.pubmlst.org/db/pubmlst_escherichia_seqdef/schemes/6
16, Haemophilus_influenzae,hinfluenzae,https://rest.pubmlst.org/db/pubmlst_hinfluenzae_seqdef/schemes/56
17, Leptospira_spp,leptospira,https://rest.pubmlst.org/db/pubmlst_leptospira_seqdef/schemes/4
18, Mycobacteroides_abscessus_complex ,mabscessus,https://rest.pubmlst.org/db/pubmlst_mabscessus_seqdef/schemes/2
19, Neisseria_gonorrhoeae_v1,neisseria,https://rest.pubmlst.org/db/pubmlst_neisseria_seqdef/schemes/62
20, Neisseria_gonorrhoeae_v2,neisseria,https://rest.pubmlst.org/db/pubmlst_neisseria_seqdef/schemes/89
21, Neisseria_meningitidis_v1,neisseria,https://rest.pubmlst.org/db/pubmlst_neisseria_seqdef/schemes/47
22, Neisseria_meningitidis_v2,neisseria,https://rest.pubmlst.org/db/pubmlst_neisseria_seqdef/schemes/85
23, Neisseria_meningitidis_v3,neisseria,https://rest.pubmlst.org/db/pubmlst_neisseria_seqdef/schemes/88
24, Human-restricted_Neisseria_v1,neisseria,https://rest.pubmlst.org/db/pubmlst_neisseria_seqdef/schemes/72
25, Neisseria_L3,neisseria,https://rest.pubmlst.org/db/pubmlst_neisseria_seqdef/schemes/45
26, Neisseria_L44,neisseria,https://rest.pubmlst.org/db/pubmlst_neisseria_seqdef/schemes/68
27, Pasteurella_multocida,pmultocida,https://rest.pubmlst.org/db/pubmlst_pmultocida_seqdef/schemes/3
28, Salmonella_v1,salmonella,https://rest.pubmlst.org/db/pubmlst_salmonella_seqdef/schemes/4
29, Salmonella_v2_enterobase,salmonella,https://rest.pubmlst.org/db/pubmlst_salmonella_seqdef/schemes/3
30, Serratia_spp,serratia,https://rest.pubmlst.org/db/pubmlst_serratia_seqdef/schemes/2
31, Staphylococcus_aureus,saureus,https://rest.pubmlst.org/db/pubmlst_saureus_seqdef/schemes/20
32, Streptococcus_agalactiae,sagalactiae,https://rest.pubmlst.org/db/pubmlst_sagalactiae_seqdef/schemes/38
33, Streptococcus_pneumoniae,spneumoniae,https://rest.pubmlst.org/db/pubmlst_spneumoniae_seqdef/schemes/2
34, Streptococcus_uberis,suberis,https://rest.pubmlst.org/db/pubmlst_suberis_seqdef/schemes/8
35, Vibrio_cholerae,vcholerae,https://rest.pubmlst.org/db/pubmlst_vcholerae_seqdef/schemes/3
36, Vibrio_parahaemolyticus,vparahaemolyticus,https://rest.pubmlst.org/db/pubmlst_vparahaemolyticus_seqdef/schemes/3
37, Xanthomonas_citri,xcitri,https://rest.pubmlst.org/db/pubmlst_xcitri_seqdef/schemes/1
38,Burkholderia_cepacia_complex,bcc,https://rest.pubmlst.org/db/pubmlst_bcc_seqdef/schemes/2
39,Haemophilus_parainfluenzae,hinfluenzae,https://rest.pubmlst.org/db/pubmlst_hinfluenzae_seqdef/schemes/59
40,Mycobacteria_spp,mycobacteria,https://rest.pubmlst.org/db/pubmlst_mycobacteria_seqdef/schemes/3
41,Neisseria_lactamica,neisseria,https://rest.pubmlst.org/db/pubmlst_neisseria_seqdef/schemes/90
42,Streptococcus_pyogenes,spyogenes,https://rest.pubmlst.org/db/pubmlst_spyogenes_seqdef/schemes/11
